image,x,y,score,hit
orange_pos_clean_01/orange_pos_003151_20260511_163849_036.png,100,20,0.000,0
orange_pos_clean_01/orange_pos_003151_20260511_163849_036.png,120,20,0.000,0
orange_pos_clean_01/orange_pos_003151_20260511_163849_036.png,140,20,0.000,0
orange_pos_clean_01/orange_pos_003151_20260511_163849_036.png,0,40,0.000,0
orange_pos_clean_01/orange_pos_003151_20260511_163849_036.png,20,40,0.000,0
orange_pos_clean_01/orange_pos_003151_20260511_163849_036.png,40,40,0.000,0
orange_pos_clean_01/orange_pos_003151_20260511_163849_036.png,60,40,28.578,0
orange_pos_clean_01/orange_pos_003151_20260511_163849_036.png,80,40,7.747,0
orange_pos_clean_01/orange_pos_003151_20260511_163849_036.png,100,40,0.000,0
orange_pos_clean_01/orange_pos_003151_20260511_163849_036.png,120,40,0.000,0
orange_pos_clean_01/orange_pos_003151_20260511_163849_036.png,140,40,0.000,0
orange_pos_clean_01/orange_pos_003151_20260511_163849_036.png,0,60,0.000,0
orange_pos_clean_01/orange_pos_003151_20260511_163849_036.png,20,60,0.000,0
orange_pos_clean_01/orange_pos_003151_20260511_163849_036.png,40,60,0.000,0
orange_pos_clean_01/orange_pos_003151_20260511_163849_036.png,60,60,193.218,1
orange_pos_clean_01/orange_pos_003151_20260511_163849_036.png,80,60,85.571,0
orange_pos_clean_01/orange_pos_003151_20260511_163849_036.png,100,60,0.000,0
orange_pos_clean_01/orange_pos_003151_20260511_163849_036.png,120,60,0.000,0
orange_pos_clean_01/orange_pos_003151_20260511_163849_036.png,140,60,0.000,0
orange_pos_clean_01/orange_pos_003151_20260511_163849_036.png,0,80,0.000,0
orange_pos_clean_01/orange_pos_003151_20260511_163849_036.png,20,80,0.000,0
orange_pos_clean_01/orange_pos_003151_20260511_163849_036.png,40,80,0.000,0
orange_pos_clean_01/orange_pos_003151_20260511_163849_036.png,60,80,9.729,0
orange_pos_clean_01/orange_pos_003151_20260511_163849_036.png,80,80,0.676,0
orange_pos_clean_01/orange_pos_003151_20260511_163849_036.png,100,80,0.000,0
orange_pos_clean_01/orange_pos_003151_20260511_163849_036.png,120,80,0.000,0
orange_pos_clean_01/orange_pos_003151_20260511_163849_036.png,140,80,0.000,0
orange_pos_clean_01/orange_pos_003151_20260511_163849_036.png,0,100,0.000,0
orange_pos_clean_01/orange_pos_003151_20260511_163849_036.png,20,100,0.000,0
orange_pos_clean_01/orange_pos_003151_20260511_163849_036.png,40,100,0.000,0
orange_pos_clean_01/orange_pos_003151_20260511_163849_036.png,60,100,0.000,0
orange_pos_clean_01/orange_pos_003151_20260511_163849_036.png,80,100,0.000,0
orange_pos_clean_01/orange_pos_003151_20260511_163849_036.png,100,100,0.000,0
orange_pos_clean_01/orange_pos_003151_20260511_163849_036.png,120,100,0.000,0
orange_pos_clean_01/orange_pos_003151_20260511_163849_036.png,140,100,0.000,0
orange_pos_clean_01/orange_pos_003153_20260511_163849_458.png,0,0,8.596,0
orange_pos_clean_01/orange_pos_003153_20260511_163849_458.png,20,0,12.355,0
orange_pos_clean_01/orange_pos_003153_20260511_163849_458.png,40,0,100.259,0
orange_pos_clean_01/orange_pos_003153_20260511_163849_458.png,60,0,75.074,0
orange_pos_clean_01/orange_pos_003153_20260511_163849_458.png,80,0,0.000,0
orange_pos_clean_01/orange_pos_003153_20260511_163849_458.png,100,0,0.000,0
orange_pos_clean_01/orange_pos_003153_20260511_163849_458.png,120,0,5.527,0
orange_pos_clean_01/orange_pos_003153_20260511_163849_458.png,140,0,100.840,0
orange_pos_clean_01/orange_pos_003153_20260511_163849_458.png,0,20,7.561,0
orange_pos_clean_01/orange_pos_003153_20260511_163849_458.png,20,20,15.647,0
orange_pos_clean_01/orange_pos_003153_20260511_163849_458.png,40,20,97.025,0
orange_pos_clean_01/orange_pos_003153_20260511_163849_458.png,60,20,34.111,0
orange_pos_clean_01/orange_pos_003153_20260511_163849_458.png,80,20,0.000,0
orange_pos_clean_01/orange_pos_003153_20260511_163849_458.png,100,20,0.000,0
orange_pos_clean_01/orange_pos_003153_20260511_163849_458.png,120,20,55.433,0
orange_pos_clean_01/orange_pos_003153_20260511_163849_458.png,140,20,100.472,0
orange_pos_clean_01/orange_pos_003153_20260511_163849_458.png,0,40,27.978,0
orange_pos_clean_01/orange_pos_003153_20260511_163849_458.png,20,40,37.298,0
orange_pos_clean_01/orange_pos_003153_20260511_163849_458.png,40,40,87.975,0
orange_pos_clean_01/orange_pos_003153_20260511_163849_458.png,60,40,20.079,0
orange_pos_clean_01/orange_pos_003153_20260511_163849_458.png,80,40,55.979,0
orange_pos_clean_01/orange_pos_003153_20260511_163849_458.png,100,40,26.317,0
orange_pos_clean_01/orange_pos_003153_20260511_163849_458.png,120,40,108.947,0
orange_pos_clean_01/orange_pos_003153_20260511_163849_458.png,140,40,86.087,0
orange_pos_clean_01/orange_pos_003153_20260511_163849_458.png,0,60,32.470,0
orange_pos_clean_01/orange_pos_003153_20260511_163849_458.png,20,60,51.678,0
orange_pos_clean_01/orange_pos_003153_20260511_163849_458.png,40,60,73.537,0
orange_pos_clean_01/orange_pos_003153_20260511_163849_458.png,60,60,126.397,0
orange_pos_clean_01/orange_pos_003153_20260511_163849_458.png,80,60,213.032,1
orange_pos_clean_01/orange_pos_003153_20260511_163849_458.png,100,60,95.469,0
orange_pos_clean_01/orange_pos_003153_20260511_163849_458.png,120,60,105.653,0
orange_pos_clean_01/orange_pos_003153_20260511_163849_458.png,140,60,93.010,0
orange_pos_clean_01/orange_pos_003153_20260511_163849_458.png,0,80,28.262,0
orange_pos_clean_01/orange_pos_003153_20260511_163849_458.png,20,80,63.490,0
orange_pos_clean_01/orange_pos_003153_20260511_163849_458.png,40,80,69.000,0
orange_pos_clean_01/orange_pos_003153_20260511_163849_458.png,60,80,60.832,0
orange_pos_clean_01/orange_pos_003153_20260511_163849_458.png,80,80,104.774,0
orange_pos_clean_01/orange_pos_003153_20260511_163849_458.png,100,80,64.726,0
orange_pos_clean_01/orange_pos_003153_20260511_163849_458.png,120,80,76.663,0
orange_pos_clean_01/orange_pos_003153_20260511_163849_458.png,140,80,82.814,0
orange_pos_clean_01/orange_pos_003153_20260511_163849_458.png,0,100,43.931,0
orange_pos_clean_01/orange_pos_003153_20260511_163849_458.png,20,100,66.621,0
orange_pos_clean_01/orange_pos_003153_20260511_163849_458.png,40,100,60.258,0
orange_pos_clean_01/orange_pos_003153_20260511_163849_458.png,60,100,54.086,0
orange_pos_clean_01/orange_pos_003153_20260511_163849_458.png,80,100,57.877,0
orange_pos_clean_01/orange_pos_003153_20260511_163849_458.png,100,100,65.404,0
orange_pos_clean_01/orange_pos_003153_20260511_163849_458.png,120,100,66.052,0
orange_pos_clean_01/orange_pos_003153_20260511_163849_458.png,140,100,68.619,0
orange_pos_clean_01/orange_pos_003154_20260511_163851_006.png,0,0,0.000,0
orange_pos_clean_01/orange_pos_003154_20260511_163851_006.png,20,0,0.000,0
orange_pos_clean_01/orange_pos_003154_20260511_163851_006.png,40,0,0.000,0
orange_pos_clean_01/orange_pos_003154_20260511_163851_006.png,60,0,0.000,0
orange_pos_clean_01/orange_pos_003154_20260511_163851_006.png,80,0,0.000,0
orange_pos_clean_01/orange_pos_003154_20260511_163851_006.png,100,0,0.000,0
orange_pos_clean_01/orange_pos_003154_20260511_163851_006.png,120,0,0.000,0
orange_pos_clean_01/orange_pos_003154_20260511_163851_006.png,140,0,0.000,0
orange_pos_clean_01/orange_pos_003154_20260511_163851_006.png,0,20,0.000,0
orange_pos_clean_01/orange_pos_003154_20260511_163851_006.png,20,20,0.000,0
orange_pos_clean_01/orange_pos_003154_20260511_163851_006.png,40,20,0.000,0
orange_pos_clean_01/orange_pos_003154_20260511_163851_006.png,60,20,0.000,0
orange_pos_clean_01/orange_pos_003154_20260511_163851_006.png,80,20,0.000,0
orange_pos_clean_01/orange_pos_003154_20260511_163851_006.png,100,20,0.000,0
orange_pos_clean_01/orange_pos_003154_20260511_163851_006.png,120,20,0.000,0
orange_pos_clean_01/orange_pos_003154_20260511_163851_006.png,140,20,0.000,0
orange_pos_clean_01/orange_pos_003154_20260511_163851_006.png,0,40,0.000,0
orange_pos_clean_01/orange_pos_003154_20260511_163851_006.png,20,40,0.000,0
orange_pos_clean_01/orange_pos_003154_20260511_163851_006.png,40,40,0.000,0
orange_pos_clean_01/orange_pos_003154_20260511_163851_006.png,60,40,0.000,0
orange_pos_clean_01/orange_pos_003154_20260511_163851_006.png,80,40,0.000,0
orange_pos_clean_01/orange_pos_003154_20260511_163851_006.png,100,40,0.000,0
orange_pos_clean_01/orange_pos_003154_20260511_163851_006.png,120,40,0.000,0
orange_pos_clean_01/orange_pos_003154_20260511_163851_006.png,140,40,0.000,0
orange_pos_clean_01/orange_pos_003154_20260511_163851_006.png,0,60,0.000,0
