index,frame,timestamp,elapsed_s,width,height,path
1,8,20260510_212337_464,0.234,160,120,captures/redbag_317/redbag317_000008_20260510_212337_464.png
2,9,20260510_212339_912,2.734,160,120,captures/redbag_317/redbag317_000009_20260510_212339_912.png
3,10,20260510_212341_474,4.234,160,120,captures/redbag_317/redbag317_000010_20260510_212341_474.png
4,11,20260510_212341_999,4.828,160,120,captures/redbag_317/redbag317_000011_20260510_212341_999.png
5,12,20260510_212346_372,9.141,160,120,captures/redbag_317/redbag317_000012_20260510_212346_372.png
